2021/06/08 09:49:58 [error] 7#7: *191 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=225"
2021/06/08 09:50:09 [error] 7#7: *191 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html"
2021/06/08 09:50:14 [error] 7#7: *191 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=2"
2021/06/08 09:50:16 [error] 7#7: *191 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:12 [error] 7#7: *202 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:13 [error] 7#7: *202 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:21 [error] 7#7: *202 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:21 [error] 7#7: *202 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:35 [error] 7#7: *204 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1"
2021/06/08 09:54:37 [error] 7#7: *204 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1&brandId=12"
2021/06/08 09:54:40 [error] 7#7: *202 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=2&brandId=12"
2021/06/08 09:54:42 [error] 7#7: *204 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?pageNum=1&brandId=12"
2021/06/08 09:59:02 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/9.html"
2021/06/08 09:59:04 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/12.html"
2021/06/08 09:59:04 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/12.html"
2021/06/08 09:59:06 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/24.html"
2021/06/08 09:59:06 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/21.html"
2021/06/08 09:59:06 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/15.html"
2021/06/08 09:59:07 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/9.html"
2021/06/08 09:59:07 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/9.html"
2021/06/08 09:59:08 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/10.html"
2021/06/08 09:59:17 [error] 7#7: *217 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/13.html"
2021/06/08 09:59:59 [error] 7#7: *227 open() "/usr/share/nginx/html/static/item/scss/shop.css.map" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/shop.css.map HTTP/1.1", host: "item.phonemall.com"
2021/06/08 09:59:59 [error] 7#7: *228 open() "/usr/share/nginx/html/static/item/scss/scss.css.map" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/scss.css.map HTTP/1.1", host: "item.phonemall.com"
